ticker,count,stock
ANET,7,NYSE
NVDA,5,NASDAQ
PFE,5,NYSE
AMGN,4,NASDAQ
AMT,4,NYSE
LUMN,4,NASDAQ
ON,4,NASDAQ
ZM,4,NASDAQ
AFRM,4,NASDAQ
WDC,4,NASDAQ
OKTA,3,NASDAQ
COIN,3,NASDAQ
ZS,3,NASDAQ
REGN,3,NASDAQ
EDIT,3,NASDAQ
MRK,3,NYSE
ILMN,3,NASDAQ
GILD,3,NASDAQ
WBD,3,NASDAQ
PYPL,3,NASDAQ
CSCO,3,NASDAQ
ETSY,3,NASDAQ
ADBE,3,NASDAQ
MA,3,NYSE
INTC,3,NASDAQ
MRNA,3,NASDAQ
MSFT,3,NASDAQ
ADSK,3,NASDAQ
FSLY,3,NASDAQ
MDB,3,NASDAQ
FVRR,3,NASDAQ
DDOG,3,NASDAQ
TD,3,NYSE
JNJ,3,NYSE
RY,3,NYSE
INTU,3,NASDAQ
MDT,3,NYSE
VZ,3,NYSE
AYX,3,NASDAQ
MRVL,3,NASDAQ
NXPI,3,NASDAQ
HD,2,NYSE
BNGO,2,NASDAQ
BNED,2,NASDAQ
PTON,2,NASDAQ
CTVA,2,NASDAQ
VTR,2,NYSE
TXN,2,NASDAQ
IBM,2,NYSE
SPG,2,NYSE
CSX,2,NYSE
F,2,NYSE
LRCX,2,NASDAQ
AMAT,2,NASDAQ
INO,2,NASDAQ
WMT,2,NYSE
WRK,2,NASDAQ
CVX,2,NYSE
SQ,2,NASDAQ
EBAY,2,NASDAQ
IDEX,2,NASDAQ
GATO,2,NASDAQ
LYSCF,2,OTC
TWLO,2,NASDAQ
GM,2,NYSE
SHOP,2,NASDAQ
AFL,2,NYSE
PARA,2,NASDAQ
SYK,2,NYSE
BB,2,NASDAQ
CLX,2,NYSE
CHPT,2,NASDAQ
AVGO,2,NASDAQ
OPEN,2,NASDAQ
SBAC,2,NASDAQ
KHC,2,NASDAQ
QRVO,2,NASDAQ
WMB,2,NYSE
PANW,2,NYSE
BKNG,2,NASDAQ
TEVA,2,NYSE
SOFI,2,NASDAQ
LLY,2,NYSE
AIG,2,NYSE
MU,2,NASDAQ
EA,2,NASDAQ
PG,2,NYSE
BNS,2,NYSE
CVS,2,NYSE
PRU,2,NYSE
CHK,2,NYSE
LOW,2,NYSE
CMCSA,2,NASDAQ
NKLA,2,NASDAQ
CAH,2,NYSE
GSK,2,NYSE
TPR,2,NASDAQ
T,2,NYSE
SIRI,2,NASDAQ
CCI,2,NYSE
PBTHF,2,OTC
NICMF,2,OTC
POL,2,NYSE
EOG,2,NYSE
LAZR,2,NASDAQ
KO,2,NYSE
QCOM,2,NASDAQ
WAT,2,NYSE
JYNT,2,NASDAQ
ADI,2,NASDAQ
ADM,2,NYSE
GOLD,2,NASDAQ
AMD,2,NASDAQ
CRWD,2,NASDAQ
IPGDF,2,OTC
NFLX,2,NASDAQ
FTNT,2,NASDAQ
FRT,2,NYSE
TMUS,2,NYSE
WDAY,2,NYSE
EMR,2,NYSE
VRTX,2,NASDAQ
TMO,2,NYSE
NINE,1,NASDAQ
PR,1,NASDAQ
TNC,1,NYSE
WFSTF,1,OTC
BDIMF,1,OTC
RBC,1,NYSE
POWI,1,NASDAQ
WERN,1,NASDAQ
SNEX,1,NASDAQ
TVTX,1,NASDAQ
FET,1,NYSE
DRS,1,NASDAQ
INVE,1,NASDAQ
RLJ,1,NYSE
VCTR,1,NASDAQ
ROG,1,NYSE
AMRX,1,NASDAQ
MCW,1,NASDAQ
GTES,1,NASDAQ
CLLS,1,NASDAQ
PBPB,1,NASDAQ
CIG,1,NYSE
SBKJY,1,OTC
GIL,1,NYSE
RGA,1,NYSE
SUM,1,NASDAQ
LYB,1,NYSE
OCANF,1,OTC
TPC,1,NYSE
RMAX,1,NYSE
HLNE,1,NASDAQ
GHI,1,NYSE
LASR,1,NASDAQ
LNT,1,NYSE
WOLTF,1,OTC
CRZBF,1,OTC
GMPXF,1,OTC
HAYW,1,NASDAQ
ITT,1,NYSE
BSAC,1,NYSE
PACK,1,NASDAQ
NGVC,1,NYSE
MRAI,1,NASDAQ
CNK,1,NYSE
FWONA,1,NASDAQ
VNNVF,1,OTC
SSREF,1,OTC
CVCO,1,NASDAQ
COLL,1,NASDAQ
ATEX,1,NASDAQ
TMVWF,1,OTC
CPT,1,NYSE
GEN,1,NASDAQ
IAS,1,NASDAQ
DLA,1,NYSE
RPT,1,NYSE
NSIT,1,NASDAQ
PNM,1,NYSE
VVI,1,NYSE
GHLD,1,NASDAQ
AMKBY,1,OTC
ALTR,1,NASDAQ
TIXT,1,NASDAQ
TU,1,NYSE
BCH,1,NYSE
ESNT,1,NYSE
REG,1,NYSE
SD,1,NYSE
RAND,1,NASDAQ
AGL,1,NASDAQ
AIP,1,NASDAQ
ACMR,1,NASDAQ
BBD,1,NYSE
LUPNY,1,
PLYA,1,NASDAQ
STEP,1,NASDAQ
USEA,1,NASDAQ
CPSS,1,NASDAQ
GLPG,1,NASDAQ
KAR,1,NYSE
UPLD,1,NASDAQ
TWST,1,NASDAQ
UDMY,1,NASDAQ
GTN,1,NYSE
PWP,1,NASDAQ
CUBE,1,NYSE
EXR,1,NYSE
FSNUF,1,OTC
RCAT,1,NASDAQ
IBP,1,NYSE
CMCO,1,NASDAQ
PTLO,1,NASDAQ
ATRWF,1,OTC
BOSSY,1,OTC
SGU,1,NYSE
IAUX,1,NASDAQ
PGTI,1,NASDAQ
WMS,1,NYSE
DSKE,1,NASDAQ
WEAV,1,NASDAQ
DCO,1,NYSE
PLMR,1,NASDAQ
AMK,1,NASDAQ
DGII,1,NASDAQ
KW,1,NYSE
NRC,1,NASDAQ
WLDN,1,NASDAQ
OTCM,1,OTC
CW,1,NYSE
CTOWY,1,OTC
CMTG,1,NASDAQ
RSVR,1,NASDAQ
KLBAY,1,OTC
TWODF,1,OTC
ELME,1,NASDAQ
VTS,1,NASDAQ
SNVVF,1,OTC
MGPI,1,NASDAQ
TTDKY,1,OTC
THG,1,NYSE
WSC,1,NASDAQ
ITOCF,1,OTC
AJX,1,NASDAQ
AHEXF,1,OTC
SWZCF,1,OTC
BDRFF,1,OTC
DRTT,1,NASDAQ
TIIAY,1,OTC
REFR,1,NASDAQ
MCHX,1,NASDAQ
RTLLF,1,OTC
LOCO,1,NASDAQ
ENOV,1,NASDAQ
MMS,1,NYSE
MYPS,1,NASDAQ
INSM,1,NASDAQ
THRY,1,NASDAQ
AKR,1,NYSE
CMPS,1,NASDAQ
VGZ,1,NYSE
FOXF,1,NASDAQ
CCLD,1,NASDAQ
RBA,1,NYSE
DNB,1,NYSE
SNDX,1,NASDAQ
NC,1,NYSE
SVYSF,1,OTC
AGS,1,NASDAQ
TPB,1,NASDAQ
MLXSF,1,OTC
EXCOF,1,OTC
FNLIF,1,OTC
HLTOY,1,OTC
SUZ,1,NASDAQ
GOLF,1,NASDAQ
ARIS,1,NASDAQ
PRDO,1,NASDAQ
TAC,1,NYSE
FSP,1,NYSE
ISPC,1,NASDAQ
LQDT,1,NASDAQ
MEC,1,NASDAQ
CRARF,1,OTC
CNO,1,NYSE
CREX,1,NASDAQ
ALNT,1,
VITL,1,NASDAQ
PBH,1,NYSE
SLTTF,1,OTC
VRNA,1,NASDAQ
IIPZF,1,OTC
UE,1,NASDAQ
SPNT,1,NASDAQ
FRTAF,1,OTC
AORT,1,NASDAQ
SEVN,1,NASDAQ
MKGAF,1,OTC
UPBD,1,NASDAQ
APG,1,NASDAQ
ACEL,1,NASDAQ
NGVT,1,NASDAQ
LAUR,1,NASDAQ
ACIW,1,NASDAQ
FULC,1,NASDAQ
OCINF,1,
CPSH,1,NASDAQ
KRTX,1,NASDAQ
ING,1,NYSE
ALCO,1,NASDAQ
NWPX,1,NASDAQ
HMN,1,NYSE
BLD,1,NASDAQ
DUFRY,1,OTC
OSW,1,NASDAQ
PATI,1,NASDAQ
CMRX,1,NASDAQ
RHP,1,NYSE
BALY,1,NASDAQ
VIA,1,NASDAQ
LNXSF,1,OTC
MUSA,1,NYSE
MLFNF,1,OTC
NANX,1,OTC
THR,1,NYSE
CURO,1,NASDAQ
BBGI,1,NASDAQ
CIOXY,1,OTC
NVMI,1,NASDAQ
FAT,1,NASDAQ
DLX,1,NYSE
TIPT,1,NASDAQ
SIGI,1,NASDAQ
GLT,1,NYSE
ECVT,1,NASDAQ
CSV,1,NYSE
MIRM,1,NASDAQ
CADNF,1,OTC
LCUT,1,NASDAQ
IFCZF,1,OTC
AVDX,1,NASDAQ
SNDR,1,NASDAQ
CVGI,1,NASDAQ
GPRE,1,NASDAQ
MODV,1,NASDAQ
PPL,1,NYSE
IRTC,1,NASDAQ
AESI,1,NASDAQ
TMDX,1,NASDAQ
WK,1,NYSE
AAOI,1,NASDAQ
PGNY,1,NASDAQ
TXG,1,NASDAQ
COLD,1,NASDAQ
GDOT,1,NYSE
OUT,1,NYSE
BWXT,1,NASDAQ
TNDM,1,NASDAQ
AMN,1,NASDAQ
TPIC,1,NASDAQ
KTOS,1,NASDAQ
GMED,1,NYSE
NTRA,1,NASDAQ
DOCN,1,NASDAQ
BE,1,NASDAQ
ABEV,1,NYSE
DLB,1,NYSE
MP,1,NASDAQ
LXRX,1,NASDAQ
MRIN,1,NYSE
AXTI,1,NASDAQ
WLK,1,NYSE
BGS,1,NYSE
VIR,1,NASDAQ
PBYI,1,NYSE
