ticker,count,Company,from_date,to_date,stock
T,140,AT&T Inc.,2012-10-24,2023-05-22,NYSE
F,129,Ford Motor Company Common Stock,2012-10-25,2023-05-31,NYSE
V,126,Visa Inc.,2012-10-31,2023-05-31,NYSE
CSCO,122,"Cisco Systems, Inc. - Common Stock",2012-11-14,2023-06-08,NASDAQ
GILD,115,"Gilead Sciences, Inc. - Common Stock",2012-10-23,2023-06-08,NASDAQ
MA,115,Mastercard Incorporated Common Stock,2012-10-31,2023-06-06,NYSE
MU,114,"Micron Technology, Inc. - Common Stock",2012-12-20,2023-05-31,NASDAQ
BMY,113,Bristol,2012-10-24,2023-06-06,NYSE
MSFT,110,Microsoft Corporation - Common Stock,2012-10-18,2023-06-08,NASDAQ
JNJ,105,Johnson & Johnson Common Stock,2013-01-22,2023-05-31,NYSE
NVDA,104,NVIDIA Corporation - Common Stock,2012-11-08,2023-06-08,NASDAQ
REGN,103,"Regeneron Pharmaceuticals, Inc. - Common Stock",2012-10-24,2023-06-08,NASDAQ
AMGN,103,Amgen Inc. - Common Stock,2012-10-23,2023-05-31,NASDAQ
GE,101,General Electric Company Common Stock,2012-10-19,2023-05-31,NYSE
GM,101,General Motors Company Common Stock,2012-10-31,2023-06-02,NYSE
MMM,100,3M Company Common Stock,2012-10-23,2023-05-31,NYSE
VZ,96,Verizon Communications Inc. Common Stock,2012-10-18,2023-05-23,NYSE
PFE,95,"Pfizer, Inc. Common Stock",2012-11-01,2023-05-02,NYSE
INTC,95,Intel Corporation - Common Stock,2012-12-11,2023-06-08,NASDAQ
LLY,92,Eli Lilly and Company Common Stock,2012-10-24,2023-05-14,NYSE
CMCSA,92,Comcast Corporation - Class A Common Stock,2012-10-26,2023-05-23,NASDAQ
AMD,91,"Advanced Micro Devices, Inc. - Common Stock",2012-10-18,2023-06-06,NASDAQ
WFC,90,Wells Fargo & Company Common Stock,2013-01-11,2023-05-31,NYSE
MRK,90,"Merck & Company, Inc. Common Stock (new)",2012-10-26,2023-06-06,NYSE
